Blog	conversation	report	community	thought	took	tech	since	including	him	major	american	yes	weinstein	real	continue	year	minutes	head	together	myself	never	means	words	us	me	espn	policy	no	reality	did	live	russian	entire	oh	truth	original	deal	star	sex	public	key	clear	meet	love	official	recently	stop	days	true	don	friends	twitter	started	big	making	help	site	tv	coming	according	saw	same	web	hope	worked	times	quickly	important	wasn	learning	name	her	happened	company	jemele	way	add	read	care	human	won	ads	most	open	black	rather	someone	drive	m	three	especially	update	lives	stuff	simple	nice	building	while	browser	content	lot	didn	later	store	less	campaign	business	d	couple	steve	friday	photos	obama	away	again	save	x	saying	instead	state	into	next	wrote	than	computer	america	cool	trailer	likely	something	during	following	works	course	p	remember	much	available	players	high	done	private	around	work	ago	back	use	project	video	mr	harvey	music	future	best	stories	attention	comes	build	room	answer	bad	include	k	blog	check	rule	election	national	interview	car	may	online	must	ideas	trying	million	itself	start	happens	went	health	seems	top	its	youtube	very	wrong	las	john	taken	living	early	b	san	gave	see	per	anyone	told	results	women	power	keep	mind	level	successful	exactly	news	spend	stand	search	art	war	com	doesn	director	interesting	bit	press	paper	right	watch	doing	weeks	announced	u	posts	everything	need	please	short	down	version	playing	administration	feature	over	hour	fact	even	face	free	morning	turn	day	make	left	each	group	personal	follow	wanted	still	second	donald	across	looks	question	writing	gets	home	take	easy	job	talking	does	city	world	also	smart	set	plans	country	small	mean	pick	book	dead	both	taking	kind	notes	made	ad	then	often	needs	network	came	maybe	hill	possible	buy	understand	digital	good	little	place	iphone	hit	james	social	create	enough	he	change	say	woman	house	says	everyone	want	yet	five	probably	president	users	police	game	space	feel	come	know	example	created	united	ll	person	would	recent	meeting	reading	become	hear	another	which	movie	really	control	these	give	actually	user	such	soon	special	cnn	too	late	before	thousands	reasons	source	piece	put	line	well	pretty	week	man	go	quite	gun	seen	lots	white	used	few	found	trump	york	any	vegas	two	night	knew	because	without	post	information	great	blogging	links	today	shows	videos	share	story	why	needed	takes	website	learn	look	based	show	amp	able	ways	money	apple	security	camera	only	other	try	tools	play	hollywood	should	were	death	app	past	large	being	once	side	list	though	else	family	bring	had	posted	sometimes	goes	page	part	life	month	fun	running	finally	full	phone	nbsp	let	several	weekend	october	always	quick	half	tips	call	cars	study	called	things	longer	email	amazon	through	americans	matter	better	event	whether	plan	least	where	ai	government	center	market	already	box	finding	age	facebook	article	haven	whole	via	different	figure	under	stay	media	four	support	political	readers	mdash	guy	process	his	years	products	might	ios	ever	old	order	books	thing	single	companies	along	machine	shot	idea	almost	end	tell	hands	said	talk	team	technology	point	close	having	worst	anything	film	mark	system	asked	sure	service	internet	case	product	number	success	them	text	run	against	sunday	could	thanks	those	appeared	months	problem	data	perhaps	google	far	focus	favorite	o	popular	reason	getting	between	photo	access	others	self	series	going	until	th	hours	own	design	related	off	find	got	view	action	isn	many	she	am	write	office	looking	young	using	sexual	long	monday	co	shooting	hard	think	every	deep	program	makes	latest	nothing	working	states
SimpleBits	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	3	1	0	1	0	6	2	0	0	6	0	0	5	0	2	1	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	6	0	0	0	2	0	0	2	0	0	0	2	0	0	2	1	0	6	0	2	0	0	1	0	0	2	1	2	1	1	1	0	0	1	0	1	4	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	1	0	0	2	2	1	0	1	0	0	3	6	2	3	2	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	1	0	0	0	1	0	4	0	0	0	0	0	1	0	1	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	3	1	0	0	0	1	1	0	4	2	1	1	0	0	3	0	0	6	0	0	0	1	1	1	0	2	0	0	0	0	3	5	0	0	0	0	4	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	8	0	0	0	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0	3	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	8	0	0	0	2	1	1	0	2	4	0	3	0	0	2	1	0	1	0	0	0	2	1	0	0	0	0	0	0	2	3	0	1	0	1	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	3	0	2	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	1	2	1	0	1	0	1	1	0	2	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	4	2	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	2	2	0	2	0	1	0	0	0	1	0	0	1	0	0	2	1	2	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	3	5	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	2	0	2	2	0	0	0	0	6	4	1	3	0	2	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
kottke.org	0	1	0	0	5	1	7	3	13	2	6	3	0	5	1	14	7	2	2	0	8	0	1	10	26	0	5	20	2	11	4	0	7	5	1	2	1	7	0	1	0	4	1	9	0	2	0	13	3	15	1	8	2	4	4	2	2	12	3	1	10	8	10	5	1	9	6	2	1	1	5	6	2	5	0	17	0	7	3	4	2	0	11	0	5	4	3	2	15	12	1	2	3	2	0	2	4	4	0	0	4	5	4	1	3	2	2	7	2	1	1	5	0	4	8	1	6	3	1	1	16	7	7	27	0	15	1	3	2	1	7	1	2	3	0	5	11	3	7	4	2	2	10	7	4	13	6	0	29	1	0	16	3	15	0	2	1	3	0	2	1	0	0	0	3	0	3	8	2	3	6	5	5	0	5	5	1	2	2	3	0	0	6	14	0	6	1	3	2	6	3	8	12	0	2	21	3	1	1	0	3	8	3	2	2	0	4	7	1	1	3	3	13	1	2	0	1	2	1	2	10	4	3	3	1	2	2	3	5	1	6	9	2	2	0	1	8	3	2	17	0	2	3	5	12	9	3	13	2	2	1	0	7	3	8	1	2	2	1	3	4	9	1	2	6	4	2	11	21	0	6	0	7	3	2	2	7	0	4	4	5	2	5	0	11	1	0	1	1	3	0	1	2	1	0	8	8	5	0	0	2	4	1	3	30	5	6	2	3	7	4	6	6	4	5	11	1	6	2	5	5	3	6	0	4	8	14	6	10	3	0	2	3	4	4	12	9	6	7	8	1	4	0	5	2	2	2	6	3	8	2	2	0	2	9	2	11	3	2	7	7	2	23	2	0	4	8	7	11	20	0	14	3	17	5	4	11	4	1	0	6	0	1	5	0	0	1	7	4	2	4	2	0	2	1	14	0	2	1	2	1	0	4	16	13	2	0	2	0	10	16	1	0	14	1	4	11	0	4	4	2	0	0	23	3	8	2	4	4	7	5	5	1	1	3	2	290	3	1	1	1	3	2	3	0	3	0	5	10	8	3	2	0	13	5	3	6	3	0	0	3	11	0	3	1	2	4	1	0	2	2	1	1	3	3	6	4	5	4	9	2	4	4	1	1	1	3	24	15	2	6	2	5	4	0	6	15	4	1	1	2	2	4	2	6	2	0	14	2	3	3	7	3	4	3	3	18	1	7	4	3	1	1	2	0	0	3	19	1	1	1	0	8	0	6	0	2	1	1	4	2	2	2	3	0	1	2	4	1	2	2	4	1	11	10	3	3	3	7	7	0	9	4	9	1	5	3	14	5	10	0	6	1	5	4	0	9	0	1	7	3	11	9	2	1	1	0	4	7	9
Techdirt.	1	2	3	2	8	8	7	11	8	7	4	1	0	5	4	13	0	5	3	3	8	3	2	38	12	0	6	32	4	14	3	6	7	1	0	2	6	0	5	18	8	6	2	2	2	5	1	1	3	12	5	6	1	7	7	8	20	9	3	4	3	14	2	0	3	4	2	7	2	3	4	9	3	13	0	21	2	2	1	2	3	1	15	23	0	5	11	2	4	8	4	3	1	2	1	2	1	19	0	8	3	6	2	5	5	3	3	3	1	0	2	4	2	3	12	1	0	4	4	8	22	11	5	27	8	5	0	0	16	10	5	3	4	4	1	2	14	8	2	14	3	4	10	11	9	17	15	0	6	1	0	1	4	7	2	3	4	1	2	6	4	3	1	0	5	3	0	5	2	2	15	2	6	1	4	4	10	11	0	4	1	5	10	37	3	17	8	1	2	4	0	0	4	4	3	9	2	4	6	3	1	1	4	2	4	0	2	16	2	3	29	1	2	2	9	0	3	4	5	0	8	1	7	3	2	5	2	6	7	3	5	22	4	2	2	0	28	0	14	24	0	10	1	1	5	15	4	1	2	5	2	6	19	4	0	1	2	4	0	0	11	8	5	4	2	4	4	12	30	6	3	6	5	3	1	0	4	0	7	7	3	2	13	0	9	5	3	3	2	2	0	5	4	7	3	10	5	7	0	3	0	2	4	3	46	4	12	0	4	7	9	8	7	5	2	2	5	8	2	4	2	5	11	6	2	4	11	16	32	8	2	1	3	3	9	48	3	3	3	37	4	14	5	16	8	1	0	9	2	7	5	4	8	2	11	4	20	4	13	2	4	4	0	2	7	2	7	15	7	6	2	28	3	12	0	0	19	22	11	9	2	0	0	4	0	6	4	32	9	2	0	6	4	5	10	1	0	6	3	5	1	32	5	16	33	4	6	0	6	24	30	2	0	9	5	26	6	7	1	2	3	3	0	24	7	0	4	5	11	5	3	1	4	3	8	5	0	2	5	0	2	8	4	1	0	1	1	0	7	9	4	35	0	13	2	2	6	1	9	2	9	13	0	31	5	6	3	4	2	1	7	10	0	5	8	4	2	16	0	9	3	7	4	2	7	2	10	52	34	3	10	0	8	5	22	1	7	3	21	5	0	0	4	7	16	0	0	38	2	3	1	13	2	7	3	12	2	2	11	7	4	6	21	26	2	8	0	21	3	8	20	0	14	10	21	0	6	6	33	8	10	8	3	1	2	3	5	6	5	1	54	7	3	3	5	5	5	2	13	0	3	10	4	5	3	2	9	14	21	4	0	8	2	0	9	2	4	0	0	2	4	7	8	2	1	5	3	9	3	7
Scobleizer	3	0	0	2	0	0	3	0	0	1	0	0	0	1	14	3	0	0	1	0	0	0	0	2	6	0	0	5	3	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	2	3	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	2	3	0	0	1	0	0	0	0	4	0	0	1	0	0	0	3	0	0	0	1	0	2	0	0	4	0	0	1	0	0	2	4	0	0	0	2	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	1	2	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	2	0	3	0	5	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	6	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	0	14	0	0	0	2	0	1	0	1	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	4	2	0	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	2	0	1	1	0	1	0	7	0	0	0	0	1	1	4	0	0	0	1	4	1	0	0	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	3	0	0	0	0	0	0	0	4	5	0	0	0	0	0	1	0	0	3	0	1	0	0	0	4	0	0	4	0	5	0	0	0	0	0	2	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	14	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	1	1	3	0	0	0	1	0	1	1	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0
Wonkette	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
Derek Powazek	0	0	3	1	3	1	1	0	2	0	0	1	0	0	4	4	1	0	1	0	3	0	0	4	15	0	0	2	0	4	2	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	4	1	4	2	1	2	1	0	0	2	0	1	0	0	3	1	2	1	1	0	0	1	0	0	9	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	12	4	2	1	1	1	1	2	0	1	0	1	1	1	1	0	1	0	1	2	4	0	2	2	0	1	2	0	0	0	0	0	4	1	1	2	0	0	2	0	0	8	0	1	0	1	1	0	1	1	0	1	1	0	1	3	2	2	0	0	0	0	0	0	0	1	1	0	1	0	0	1	3	1	0	1	0	0	0	0	0	1	0	2	1	0	0	0	2	0	1	3	0	0	2	1	1	1	1	0	0	0	0	1	0	2	2	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	4	1	1	2	1	0	0	2	1	0	1	2	0	0	0	0	5	0	0	1	1	0	2	0	2	1	1	1	0	0	1	0	4	0	0	0	0	0	2	2	0	1	2	1	1	0	0	3	2	0	0	1	0	2	0	0	6	2	2	1	1	0	2	0	7	2	0	1	1	1	0	1	1	0	1	1	7	0	0	1	0	0	2	5	5	1	3	2	0	0	1	1	1	0	1	0	0	0	0	0	5	3	6	0	0	0	4	0	0	0	0	4	0	0	3	2	0	2	0	2	0	0	0	0	1	2	0	2	0	1	0	0	0	0	1	0	2	0	3	1	4	0	2	1	0	1	1	5	1	0	0	0	0	9	2	1	3	0	3	0	5	0	0	2	0	0	1	3	1	0	0	0	0	0	0	3	0	1	1	3	0	0	1	1	3	1	0	0	0	1	2	1	0	0	0	0	2	0	0	0	1	1	0	3	1	0	2	1	2	5	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	1	1	3	5	0	1	0	1	2	0	0	4	1	0	1	0	1	0	1	0	0	4	3	3	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	2	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	1	0	4	0	0	0	2	1	0	1	1	1	0	0	0	1	7	3	3	0	1	0	1	0	1	0	0	0	3	4	3	0	0	0	0	0	0	0
Tech	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	1	0	0	0	1	1	2	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	3	1	3	5	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	2	0	0	1	0	0	0	2	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	2	0	1	1	1	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	3	0	0	0	1	0	0	1	3	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	1	0	6	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	2	1
ThinkProgress	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	6	1	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	7	1	0	1	7	0	2	0	0	2	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	2	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
Search Engine Roundtable	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	3	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Power LinePower Line	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	3	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
